target,nodes
102,[102]
129,[102]
144,[102]
144,[129, 200, 197, 102, 641, 193, 158]
144,[200, 197, 102, 641, 193, 158, 129, 163, 596520, 420]
144,[197, 102, 641, 193, 158, 129, 163, 596520, 420, 200]
144,[102, 641, 193, 158, 129, 163, 596520, 420, 200, 197]
144,[641, 193, 158, 129, 163, 596520, 420, 200, 197]
144,[193, 158, 129, 163, 596520, 420, 200, 197, 705, 398, 641]
144,[158, 129, 163, 596520, 420, 200, 197, 705, 398, 641, 193]
144,[129, 163, 596520, 420, 200, 197, 705, 398, 641, 193, 158]
144,[163, 596520, 420, 200, 197, 705, 398, 641, 193, 158]
144,[596520, 420, 200, 197, 705, 398, 641, 193, 158, 163]
144,[420, 200, 197, 705, 398, 641, 193, 158, 163, 596520]
144,[200, 197, 705, 398, 641, 193, 158, 163, 596520, 420]
144,[197, 705, 398, 641, 193, 158, 163, 596520, 420]
144,[705, 398, 641, 193, 158, 163, 596520, 420]
158,[102]
1597,[102]
1597,[129, 200, 197, 102, 641, 193, 158]
1597,[200, 197, 102, 641, 193, 158, 129, 163, 596520, 420]
1597,[197, 102, 641, 193, 158, 129, 163, 596520, 420, 200]
1597,[102, 641, 193, 158, 129, 163, 596520, 420, 200, 197]
1597,[641, 193, 158, 129, 163, 596520, 420, 200, 197]
1597,[193, 158, 129, 163, 596520, 420, 200, 197, 705, 398, 641]
1597,[158, 129, 163, 596520, 420, 200, 197, 705, 398, 641, 193]
1597,[129, 163, 596520, 420, 200, 197, 705, 398, 641, 193, 158]
1597,[163, 596520, 420, 200, 197, 705, 398, 641, 193, 158]
1597,[596520, 420, 200, 197, 705, 398, 641, 193, 158, 163]
1597,[420, 200, 197, 705, 398, 641, 193, 158, 163, 596520]
1597,[200, 197, 705, 398, 641, 193, 158, 163, 596520, 420]
1597,[197, 705, 398, 641, 193, 158, 163, 596520, 420]
1597,[705, 398, 641, 193, 158, 163, 596520, 420]
163,[102]
163,[129, 200, 197, 102, 641, 193, 158]
1697,[102]
1697,[129, 200, 197, 102, 641, 193, 158]
1697,[200, 197, 102, 641, 193, 158, 129, 163, 596520, 420]
1697,[197, 102, 641, 193, 158, 129, 163, 596520, 420, 200]
1697,[102, 641, 193, 158, 129, 163, 596520, 420, 200, 197]
1697,[641, 193, 158, 129, 163, 596520, 420, 200, 197]
1697,[193, 158, 129, 163, 596520, 420, 200, 197, 705, 398, 641]
1697,[158, 129, 163, 596520, 420, 200, 197, 705, 398, 641, 193]
